,realized_pnl,realized_pnl_percentage,realized_pnl_percentage_weighted
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,358.0562652799999,14.32225063938619,3.6889342450049947
5,172.8280959790001,6.913123844731972,1.7805902132654445
6,-322.3780615440003,-12.895122461796117,-3.3213536150191696
7,-502.2811002599999,-20.091244689001886,-5.174834602932999
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,487.01736608000004,20.070310003195925,4.499020014695079
13,222.35042140999988,9.163208852005521,2.0540520028091778
14,170.86781922050008,7.041576544099981,1.5784606301165314
15,238.50473053500008,9.828938766615835,2.2032839709871026
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,249.9509601899999,9.236092627096081,2.0756618356100867
21,904.3663794349998,33.41780171048463,7.510108293943659
22,-195.64654817540003,-7.229456668163447,-1.6247029937705968
23,258.35220301800007,9.546532276465513,2.1454280773421344
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,171.65115162000023,5.701754385964919,1.194886622878359
29,1916.940481938,63.67521367521367,13.344079064453105
30,-81.60108393920007,-2.710551790900295,-0.5680360585472671
31,316.49696802099976,10.51311309135694,2.203177722378813
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,1590.3687946899995,44.28307976025818,9.406904325379587
37,68.76424566000038,1.9147084421236027,0.4067350177457489
38,636.0832677832005,17.711442786069664,3.7623816959875094
39,245.70681201000002,6.841592028385768,1.4533361572418384
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,318.0585520500001,7.5251637641795766,1.7839076254205524
45,227.39179037400007,5.380017079419308,1.2753813604183208
46,-174.17306834850024,-4.120879120879128,-0.9768914018100036
47,551.6409228330002,13.05164823365188,3.094010339898418
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,874.2458736,19.613670133729567,4.4879372381446725
53,2147.392455995999,48.1766612641815,11.023629460772085
54,-777.1098763420999,-17.43442803614723,-3.989290035541452
55,-593.9416402080002,-13.325056479351971,-3.048996723768133
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,1038.1215873600001,21.316770186335397,6.1050448410938
61,-1849.2680864239996,-37.97283748063075,-10.875281593491358
62,-586.3211948803,-12.039508809396693,-3.448071237137873
63,-1078.1127759479998,-22.137948308520794,-6.34022731157807
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,1196.6231235299997,28.148679090722915,6.5808890920647665
69,435.4156358369999,10.242468772961066,2.39459020308855
70,-860.5374744436997,-20.242792109256445,-4.732569150237994
71,407.47982687999956,9.58532294546368,2.2409558157629905
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,2260.01842884,49.71634039153017,11.08261990265491
77,692.5992200820003,15.235937083444417,3.3963501372791067
78,-1093.2123902696,-24.04870624048706,-5.360866637025354
79,349.7462953870005,7.693789560590791,1.7150768350704484
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,-491.9352124799999,-9.649356887441963,-2.4155369831606426
85,521.9006326649996,10.237131289762868,2.562675425045931
86,-1059.978631704,-20.79158316633267,-5.204786161440156
87,1003.0166043840001,19.674267655902632,4.925086965008144
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,-911.2668036,-17.89828105617579,-3.61201623213946
93,637.3555471940003,12.518363064008398,2.526305767986013
94,4237.973601248799,83.23845667299177,16.798186193786186
95,899.2350422799994,17.661964211994817,3.564325570066198
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,-566.3265129600007,-8.979063241959862,-2.3355731217510876
101,-751.710146634,-11.918306444092142,-3.1001091660879756
102,-977.5381396627996,-15.498791853641691,-4.0314407894306905
103,1314.6781667760006,20.844121276647233,5.421831610931289
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,-692.3989882499999,-11.42202197454747,-3.5645247207980715
109,-3106.3961046800005,-51.244044467972486,-15.991972685732325
110,-792.4137425599996,-13.0718954248366,-4.079408581451285
111,-231.9305112830002,-3.825995544765104,-1.1939966045662262
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,991.5170865600006,20.417633410672863,5.052811684249982
117,-128.65450500599988,-2.6492942453854473,-0.655628627017489
118,-1334.9931728445004,-27.490601503759404,-6.803179888251429
119,670.4856061439999,13.806851896190953,3.41682211105378
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,-56.35053985,-1.1486586631095252,-0.250859072735046
125,473.8340390199998,9.658710684809279,2.109395366491041
126,1796.3444665180004,36.61697990926767,7.996894233541872
127,626.1222896039999,12.76297976656544,2.787346091215901
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,-572.5638216,-10.19566684159232,-2.119829787176409
