episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,11,4400,False,0,1,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-36-41,1598780201,20.417978048324585,20.417978048324585,8078,bellmanlabs,192.168.68.108,20.417978048324585,0,1,41096_00000,0,[],[],7715.296,570.296,12693.073,346.646,3.217,4400,4400,40.75333333333333,33.04333333333332,0.0,0.20000000000000004,4.9999999999999996e-05,0.04079518552337374,-0.004594599508813449,0.043633755615779334,0.0978024,0.008780153840780259,2.777203069414411,0.0
nan,nan,nan,nan,0,11,8800,False,0,2,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-36-58,1598780218,16.69039487838745,37.108372926712036,8078,bellmanlabs,192.168.68.108,37.108372926712036,0,2,41096_00000,0,[],[],5936.845,741.134,12607.218,349.006,3.342,8800,8800,29.84347826086956,34.88695652173912,0.0,0.20000000000000004,4.9999999999999996e-05,0.029146660332168853,-0.010919900032292519,0.03793082359646048,0.09139941,0.010678680001624993,2.7433322702135357,0.0
nan,nan,nan,nan,0,11,13200,False,0,3,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-37-16,1598780236,18.670824766159058,55.779197692871094,8078,bellmanlabs,192.168.68.108,55.779197692871094,0,3,41096_00000,0,[],[],5641.521,779.932,12940.94,340.006,3.4,13200,13200,37.7074074074074,36.181481481481484,0.0,0.20000000000000004,4.9999999999999996e-05,0.021732482526983534,-0.0076932333675878385,0.027121270075440407,0.12496594,0.01152221653610468,2.655460350854056,0.0
nan,nan,nan,nan,0,11,17600,False,0,4,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-37-42,1598780262,25.787429571151733,81.56662726402283,8078,bellmanlabs,192.168.68.108,81.56662726402283,0,4,41096_00000,0,[],[],6915.837,636.221,13464.986,326.773,3.831,17600,17600,66.06486486486486,58.45405405405406,0.0,0.20000000000000004,4.9999999999999996e-05,0.016851423042161123,-0.009259756175535067,0.024896461782710894,0.17946284,0.006073579737650496,2.6622021743229456,0.0
-5.485460719091965,-7.928790577397677,-6.461730489358714,1778.0,11,11,22000,False,11,5,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-38-04,1598780284,21.515652418136597,103.08227968215942,8078,bellmanlabs,192.168.68.108,103.08227968215942,0,5,41096_00000,0,"[-6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6831.865,644.041,13773.25,319.46,4.075,22000,22000,54.261290322580656,62.9483870967742,0.0,0.20000000000000004,4.9999999999999996e-05,0.0181517799384892,-0.0061121096834540365,0.022600127011537553,0.021099648,0.008318830228277615,2.5960337502615793,0.0
-5.485460719091965,-7.928790577397677,-6.461730489358714,1778.0,0,11,26400,False,11,6,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-38-23,1598780303,19.6136736869812,122.69595336914062,8078,bellmanlabs,192.168.68.108,122.69595336914062,0,6,41096_00000,0,"[-6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6472.929,679.754,13964.97,315.074,4.005,26400,26400,50.61428571428572,63.03928571428571,0.0,0.20000000000000004,4.9999999999999996e-05,0.024168625607022216,-0.004270596536142485,0.027132098962153708,0.07340051,0.006535611793931042,2.59471401487078,0.0
-5.485460719091965,-7.928790577397677,-6.461730489358714,1778.0,0,11,30800,False,11,7,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-38-44,1598780324,20.983144760131836,143.67909812927246,8078,bellmanlabs,192.168.68.108,143.67909812927246,0,7,41096_00000,0,"[-6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6356.865,692.165,14157.49,310.79,3.846,30800,30800,52.84000000000001,63.5,0.0,0.20000000000000004,4.9999999999999996e-05,0.043402611996446336,-0.007735543791204691,0.049192541731255396,0.11144025,0.00972806393568005,2.4874730587005613,0.0
-5.485460719091965,-7.928790577397677,-6.461730489358714,1778.0,0,11,35200,False,11,8,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-39-07,1598780347,22.313287019729614,165.99238514900208,8078,bellmanlabs,192.168.68.108,165.99238514900208,0,8,41096_00000,0,"[-6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6481.63,678.842,14256.125,308.639,3.799,35200,35200,56.853125,63.58125,0.0,0.20000000000000004,4.9999999999999996e-05,0.02026594052357333,-0.0037438451179436275,0.023010042096887316,0.19961384,0.004998707771301269,2.44825416292463,0.0
-0.9503288013921689,-7.928790577397677,-4.4531596962315065,1778.0,11,11,39600,False,22,9,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-39-32,1598780372,25.396746397018433,191.3891315460205,8078,bellmanlabs,192.168.68.108,191.3891315460205,0,9,41096_00000,0,"[-3.2099336143471233, -3.7770661308397355, -2.395278575845816, -0.959243840258094, -0.997926568935631, -3.0892974754748277, -3.934040105225215, -1.9764666679788057, -2.1511628622438987, -0.9503288013921689, -3.4497332916059853, -6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6848.512,642.475,14404.39,305.462,3.824,39600,39600,63.449999999999996,64.01388888888887,0.0,0.10000000000000002,4.9999999999999996e-05,0.014064132901174682,-0.0017254561451928957,0.015201486806784357,0.12486604,0.005881021983389343,2.4923676218305317,0.0
-0.9503288013921689,-7.928790577397677,-4.4531596962315065,1778.0,0,11,44000,False,22,10,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-39-52,1598780392,19.57368779182434,210.96281933784485,8078,bellmanlabs,192.168.68.108,210.96281933784485,0,10,41096_00000,0,"[-6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965, -3.2099336143471233, -3.7770661308397355, -2.395278575845816, -0.959243840258094, -0.997926568935631, -3.0892974754748277, -3.934040105225215, -1.9764666679788057, -2.1511628622438987, -0.9503288013921689, -3.4497332916059853]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6582.781,668.411,14501.274,303.422,3.704,44000,44000,52.61785714285714,63.09999999999999,0.0,0.10000000000000002,4.9999999999999996e-05,0.006177471551511969,-0.004031872084098203,0.008679141396922725,0.15765369,0.015302004691745554,2.377000038964408,0.0
-0.9503288013921689,-7.928790577397677,-4.4531596962315065,1778.0,0,11,48400,False,22,11,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-40-13,1598780413,21.748497247695923,232.71131658554077,8078,bellmanlabs,192.168.68.108,232.71131658554077,0,11,41096_00000,0,"[-6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965, -3.2099336143471233, -3.7770661308397355, -2.395278575845816, -0.959243840258094, -0.997926568935631, -3.0892974754748277, -3.934040105225215, -1.9764666679788057, -2.1511628622438987, -0.9503288013921689, -3.4497332916059853]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6366.572,691.11,14850.597,296.284,3.662,48400,48400,56.86774193548386,63.09999999999998,0.0,0.10000000000000002,4.9999999999999996e-05,0.04297295119613409,-0.005544543638825417,0.04766988413674491,0.121087484,0.008476074039936065,2.332087871006557,0.0
-0.9503288013921689,-7.928790577397677,-4.4531596962315065,1778.0,0,11,52800,False,22,12,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-40-35,1598780435,21.712895393371582,254.42421197891235,8078,bellmanlabs,192.168.68.108,254.42421197891235,0,12,41096_00000,0,"[-6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965, -3.2099336143471233, -3.7770661308397355, -2.395278575845816, -0.959243840258094, -0.997926568935631, -3.0892974754748277, -3.934040105225215, -1.9764666679788057, -2.1511628622438987, -0.9503288013921689, -3.4497332916059853]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6591.751,667.501,15127.63,290.859,3.804,52800,52800,52.325806451612905,63.19354838709679,0.0,0.10000000000000002,4.9999999999999996e-05,0.02084467388423426,-0.007009807335478919,0.02677635018314634,0.021478336,0.010781325133783477,2.264299692426409,0.0
-0.9503288013921689,-7.928790577397677,-4.4531596962315065,1778.0,0,11,57200,False,22,13,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-40-59,1598780459,23.683932304382324,278.1081442832947,8078,bellmanlabs,192.168.68.108,278.1081442832947,0,13,41096_00000,0,"[-6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965, -3.2099336143471233, -3.7770661308397355, -2.395278575845816, -0.959243840258094, -0.997926568935631, -3.0892974754748277, -3.934040105225215, -1.9764666679788057, -2.1511628622438987, -0.9503288013921689, -3.4497332916059853]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6952.5,632.866,15267.572,288.193,4.148,57200,57200,57.538235294117655,63.19999999999999,0.0,0.10000000000000002,4.9999999999999996e-05,0.013104013140712465,-0.006142555177211762,0.018724900643740383,0.14655326,0.005216685456356832,2.25315705708095,0.0
0.21733456918033384,-7.928790577397677,-3.1024064475084354,1778.0,11,11,61600,False,33,14,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-41-20,1598780480,21.213581800460815,299.3217260837555,8078,bellmanlabs,192.168.68.108,299.3217260837555,0,14,41096_00000,0,"[-1.0638493410707393, -0.09601349900183691, 0.21733456918033384, -0.18474313722272862, -0.6429680169755866, -0.5030396551041302, -0.32401103847011103, -0.5948361691849402, -0.8684605335823005, -0.263303675817109, -0.08600895343608031, -6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965, -3.2099336143471233, -3.7770661308397355, -2.395278575845816, -0.959243840258094, -0.997926568935631, -3.0892974754748277, -3.934040105225215, -1.9764666679788057, -2.1511628622438987, -0.9503288013921689, -3.4497332916059853]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6487.393,678.239,15274.991,288.053,4.252,61600,61600,53.18333333333332,63.20000000000002,0.0,0.10000000000000002,4.9999999999999996e-05,-0.002392647468617984,-0.010483366676739284,0.0069064785460276265,0.12587266,0.011842377270971026,2.1722621032169886,0.0
0.21733456918033384,-7.928790577397677,-3.102406447508436,1778.0,0,11,66000,False,33,15,c8c78926429f4b7994fcf3f6172274a1,2020-08-30_18-41-40,1598780500,19.8912193775177,319.2129454612732,8078,bellmanlabs,192.168.68.108,319.2129454612732,0,15,41096_00000,0,"[-6.837064092115231, -6.3637508913805965, -6.926488466572705, -5.719128729600274, -6.686926463399746, -6.988749765682958, -7.928790577397677, -5.908831546940489, -5.614974124107064, -6.618870006657141, -5.485460719091965, -3.2099336143471233, -3.7770661308397355, -2.395278575845816, -0.959243840258094, -0.997926568935631, -3.0892974754748277, -3.934040105225215, -1.9764666679788057, -2.1511628622438987, -0.9503288013921689, -3.4497332916059853, -1.0638493410707393, -0.09601349900183691, 0.21733456918033384, -0.18474313722272862, -0.6429680169755866, -0.5030396551041302, -0.32401103847011103, -0.5948361691849402, -0.8684605335823005, -0.263303675817109, -0.08600895343608031]","[1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778, 1778]",6323.73,695.792,15275.756,288.038,4.333,66000,66000,51.142857142857146,63.29999999999999,0.0,0.10000000000000002,4.9999999999999996e-05,0.022331504257661956,-0.006999469827860594,0.028305872370089802,0.08377113,0.010251036712101527,2.219186360495431,0.0
