,realized_pnl,realized_pnl_percentage,realized_pnl_percentage_weighted
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,22.71887548094635,0.8874027193897627,0.2226679225854638
6,374.9887411771393,16.678754148638888,3.6752683494779066
7,-165.34346952384337,-8.095404140011297,-1.6205329750068054
8,-87.29209703468626,-5.510040761706881,-0.8555507036932211
9,57.95819204340514,3.703704003361885,0.5680488116560957
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,219.55988427499997,8.291276317973818,2.0651133623351337
16,118.61643030251312,5.0031093694322015,1.1156699959971044
17,-19.735773505755613,-0.9288120328552307,-0.18562867127269816
18,73.06328087075195,4.103177125142121,0.6872109544075539
19,37.32219521120681,2.918986692102754,0.3510411945098641
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,-312.20658914324343,-8.215710112259789,-3.1752029982775536
26,-19.976212561811828,-0.9633092363396822,-0.2031620479073009
27,-302.5303861673561,-17.288928969375316,-3.0767940928624173
28,-54.95238235475769,-3.387865150401026,-0.5588766390041362
29,-109.54095572630006,-7.902554787713556,-1.114053268416945
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,-18.332454302737425,-0.6238217079240216,-0.18378166510512936
36,16.8249887666687,0.8127922525611009,0.1686694208997292
37,38.95081205710144,2.1512852372340463,0.39047936401958705
38,106.06623631920318,6.5413447468174235,1.063307138273711
39,-1.0324218598800659,-0.0741769960355243,-0.01034996216907852
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,-139.10831946794661,-6.540150886034446,-1.4368130135993424
46,47.60825867830734,2.3394086140559045,0.4917331032782516
47,-1.9995798837478636,-0.10098652096357519,-0.02065313138487302
48,-36.821311734344484,-1.9165906652078735,-0.3803175833052515
49,-163.0785249662823,-8.529890894730752,-1.6843949219308212
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,290.42572081389767,11.551111128494096,2.729761058092167
56,170.33385545001067,8.48508287347256,1.6009970610698376
57,204.96388176195524,11.625541710898467,1.9264906055194646
58,115.28111650451659,6.684676391378552,1.0835469451036197
59,176.50399413694151,10.553907573720256,1.658991250645783
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,168.643714445858,7.416670663016189,1.4558707851532715
66,58.80394634361877,2.6384017841446505,0.5076438681079926
67,127.12308104579009,5.943788758017843,1.097430641997953
68,384.24006173960265,18.955625043250702,3.317075185460113
69,205.65391870477063,10.43498141319754,1.7753732066348888
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,505.18190712033083,18.320226461957812,4.084488158631717
76,22.96553245124664,0.8755328125255035,0.1856805321641225
77,185.194541767601,8.239997329186988,1.4973317575936425
78,-107.509420426651,-5.366321593014101,-0.8692333365165813
79,178.7706042903076,9.157207419377533,1.4453930476201169
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,366.07910457307435,10.894269568934313,2.7796044785621215
86,153.93796064130856,5.9338106532578205,1.1688365696761283
87,-14.963532808581542,-0.6816403211618138,-0.11361670822034593
88,87.50839570139694,4.072398469205107,0.6644430822869746
89,209.32108676557618,10.113494021314118,1.589355477990536
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,1893.703144058998,57.18455080973981,11.684446386800044
96,901.9382715027649,28.399831039355373,5.565101061715736
97,264.3349903013485,10.75227513388326,1.6309884851916319
98,-122.48596385992239,-5.342713823630141,-0.7557576710725483
99,99.36476145249328,5.1437017510863825,0.6130962139294319
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,-3280.4537554797853,-52.45327599277514,-32.459311894035274
106,-1164.0920781623838,-31.823741748925215,-11.51841502881425
107,-822.4172987522822,-30.46970599521601,-8.13762412064425
108,-279.82154764271394,-15.482125759602827,-2.7687678493971295
109,-553.9009791010131,-30.969428124747257,-5.480718820991803
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,2382.0979984859314,74.26106966024004,16.43744179331286
116,669.2724777970885,33.49112411343555,4.618251392112442
117,840.6878822674332,48.50173625689869,5.801087167655416
118,168.709325673291,10.228039825431189,1.1641627349111605
119,324.77814199394606,21.402600454262434,2.2411008313507534
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,356.3405854590912,7.799138725443466,1.8934680626050602
126,2076.637667670307,59.014778288095336,11.034519394613826
127,827.9259393788208,34.84042906214331,4.39930613684211
128,647.3791225744934,31.599569742687585,3.4399440956545595
129,419.280806467781,21.185937392133837,2.227910175562019
130,0.0,0.0,0.0
131,0.0,0.0,0.0
