,realized_pnl,realized_pnl_percentage,realized_pnl_percentage_weighted
0,0.0,0.0,0.0
1,-544.9940477860611,-5.449940478958048,-5.764079372773403
2,0.0,0.0,0.0
3,-504.71592281453775,-5.338081492428981,-5.639101315786145
4,0.0,0.0,0.0
